CGscore_indel_gene_count_2	ExAC_zScore_pLI	ExAC_zScore_indel	min_D_Frequency	gene_count	HI_DDDperc_haploinsufficient_gene_count	morbidGene_count
0	0	0.15993430901017494	0.00035847	1	0	0
0	0	-10.0	0.00781841	1	0	0
0	1	0.274245811840761	-1.0	1	0	1
0	0	-10.0	-1.0	1	0	0
0	0	-10.0	0.0	0	0	0
1	1	-10.0	-1.0	6	0	1
0	0	-10.0	0.0	0	0	0
0	1	-10.0	-1.0	11	0	1
0	0	0.106786858916974	0.00067893	1	0	0
0	0	-2.22770991938138	0.00640225	1	1	1
0	0	-10.0	-1.0	1	1	1
0	0	0.498450968929395	0.00173913	1	0	0
0	0	-1.18278709618643	0.01143579	1	1	0
2	9	1.3035119827160901	-1.0	141	2	13
0	0	0.621804238568778	-1.0	1	0	0
0	0	0.106786858916974	0.11617501	1	0	0
0	4	1.6020878261832499	-1.0	86	1	6
0	0	-10.0	0.0	0	0	0
0	0	-10.0	0.0	0	0	0
0	0	-10.0	0.00345097	5	0	1
0	0	-10.0	0.0	0	0	0
0	0	1.21266324761534	-1.0	1	0	1
0	1	0.5842120022419189	-1.0	5	1	0
0	0	-10.0	0.00016175	2	0	0
0	1	0.15571053965404802	0.00095591	1	1	1
1	1	-0.0656499860581845	0.00019329	2	1	1
0	0	-10.0	-1.0	1	0	0
0	0	-10.0	-1.0	1	0	1
0	0	-10.0	-1.0	2	0	0
0	1	0.7112398220834321	-1.0	2	0	0
0	0	-10.0	0.0	0	0	0
0	0	-10.0	0.00063291	1	0	0
0	0	-0.39984167098181395	-1.0	1	0	0
0	0	-10.0	0.0	0	0	0
0	0	0.19145806828448106	-1.0	1	0	0
1	6	0.9880167666717208	-1.0	123	2	9
0	0	-10.0	0.0	0	0	0
0	0	-10.0	-1.0	1	0	0
0	0	0.18656788651572886	-1.0	1	0	0
0	0	-0.0460223848655924	-1.0	1	1	1
0	4	-1.28111807364655	-1.0	32	2	5
0	0	-10.0	0.04746735	6	0	0
0	0	-2.62354415217069	-1.0	1	0	0
0	1	0.489398329069109	-1.0	1	0	0
0	0	-10.0	0.0	0	0	0
0	0	-10.0	-1.0	1	0	0
0	3	0.43241862687934296	-1.0	29	5	7
0	0	-10.0	0.0	0	0	0
0	0	-10.0	-1.0	1	0	0
0	0	-2.62354415217069	0.00038794	1	0	0
0	1	0.9212481583329788	-1.0	4	1	0
0	1	-0.6087804885618929	-1.0	1	0	0
0	0	-1.7090717102035902	-1.0	1	0	1
